,Feature,Importance
0,ordinal__Credit_Mix,0.17884626043552465
1,num__Outstanding_Debt,0.14789239029794646
2,num__Interest_Rate,0.1324983314400223
3,ordinal__Payment_of_Min_Amount,0.09573336214558274
4,num__Delay_from_due_date,0.06402278958119227
5,num__Num_Credit_Inquiries,0.05056224411707661
6,remainder__Debt_to_Income_Ratio,0.0394118591464377
7,num__Changed_Credit_Limit,0.0373524767990992
8,num__Credit_History_Age,0.03496850389185863
9,num__Num_Credit_Card,0.0348241621458768
10,num__Num_Bank_Accounts,0.03323017063490419
11,num__Num_of_Delayed_Payment,0.026176697652019278
12,remainder__EMI_to_Salary_Ratio,0.02575906806519589
13,num__Num_of_Loan,0.021058684915895073
14,num__Total_EMI_per_month,0.014804888154352814
15,num__Amount_invested_monthly,0.01384793653049377
16,num__Annual_Income,0.013193058214019053
17,num__Monthly_Balance,0.01309322960224151
18,num__Monthly_Inhand_Salary,0.013046940636773807
19,num__Age,0.009676945593487233
